taskId,ownerDeviceId,arrivalTime,taskType,dataSizeKb,workload,quantumSuitability,deadline,priority,memoryMb,energyLocalEst
41,3,3.2657,maxcut,59.54,39.7136,0.9511,3.287,4,272.6,0.330947
42,8,3.396,alert,214.63,4.0361,0.1247,3.4029,1,417.2,0.033634
43,6,3.4975,control_signal,21.75,2.9908,0.1113,3.5111,2,264.2,0.024923
44,10,3.5044,knapsack,29.65,36.0699,0.9296,3.5329,2,291.3,0.300582
45,3,3.6106,maxcut,57.44,16.9812,0.9648,3.6309,5,237.1,0.14151
46,12,3.7374,alert,320.77,1.4037,0.1132,3.7484,2,249.2,0.011697
47,7,3.8425,tsp,29.8,36.73,0.9494,3.8813,3,189.4,0.306084
48,13,3.8687,tsp,39.31,56.7937,0.9442,3.8822,4,122.0,0.473281
49,4,3.8988,cnn_inference,228.06,75.7872,0.0718,3.9155,1,497.6,0.63156
50,4,3.9143,maxcut,434.98,24.3024,0.9275,3.9271,3,433.5,0.20252
51,14,3.9475,alert,399.94,5.2108,0.0679,3.9525,2,301.1,0.043423
52,13,3.9495,alert,199.31,4.5242,0.0427,3.9571,2,230.9,0.037702
53,4,3.9651,tsp,466.04,13.8718,0.9767,3.9885,3,66.3,0.115598
54,2,4.0883,maxcut,468.73,58.7868,0.9621,4.1138,5,159.2,0.48989
55,9,4.4625,tsp,288.6,17.6801,0.9602,4.4784,5,298.2,0.147334
56,9,4.5153,maxcut,474.93,50.0292,0.9946,4.5512,2,91.8,0.41691
57,9,4.5419,maxcut,387.68,31.8921,0.9694,4.5633,2,134.5,0.265767
58,4,4.5792,video_processing,363.73,62.0069,0.0365,4.5949,1,482.7,0.516724
59,1,4.613,maxcut,259.01,15.3656,0.9173,4.6386,2,509.6,0.128047
60,7,4.6251,image_processing,121.7,45.306,0.0572,4.6462,3,73.5,0.37755
61,11,4.7266,alert,39.56,3.345,0.0939,4.7344,4,349.5,0.027875
62,11,4.8555,image_processing,180.36,58.2762,0.096,4.8773,3,360.4,0.485635
63,7,4.9967,alert,257.82,2.8546,0.1092,5.0072,3,262.4,0.023788
64,3,5.494,sensor_data,376.16,3.705,0.1725,5.5115,4,175.9,0.030875
65,10,5.6913,knapsack,152.75,48.154,0.9222,5.7072,2,457.9,0.401283
66,11,5.8453,sensor_data,82.24,4.2773,0.1676,5.8599,1,192.4,0.035645
67,1,5.9431,knapsack,245.75,31.1101,0.9086,5.9552,4,395.6,0.259251
68,12,5.9985,image_processing,96.41,69.2334,0.0375,6.0145,2,231.1,0.576945
69,12,6.0027,maxcut,74.14,47.589,0.99,6.0209,2,190.0,0.396575
70,5,6.0923,maxcut,325.07,48.1578,0.9357,6.1172,4,511.5,0.401315
71,8,6.1505,cnn_inference,235.86,74.489,0.0762,6.1759,1,57.3,0.620741
72,7,6.2917,image_processing,419.94,44.4417,0.0562,6.3119,1,154.0,0.370348
73,11,6.4817,sensor_data,446.05,13.0219,0.1314,6.5041,2,235.6,0.108516
74,4,6.5128,cnn_inference,155.19,76.9403,0.0444,6.533,1,140.2,0.641169
75,3,6.5174,tsp,343.85,57.4647,0.9627,6.5524,1,131.1,0.478872
76,12,6.604,portfolio,409.09,41.7916,0.9028,6.6344,1,177.6,0.348263
77,8,6.8432,alert,133.99,2.323,0.1146,6.8506,4,406.6,0.019358
78,5,6.9201,control_signal,497.1,2.4915,0.1006,6.9304,1,146.1,0.020763
79,2,7.1196,image_processing,376.07,68.5964,0.0359,7.1363,2,137.2,0.571637
80,2,7.1902,image_processing,348.3,48.765,0.0218,7.2123,5,240.3,0.406375
81,1,7.3132,image_processing,379.74,75.4008,0.0816,7.3373,1,266.3,0.62834
82,3,7.3403,maxcut,454.73,33.1914,0.9602,7.3742,4,172.9,0.276595
83,9,7.3529,portfolio,207.0,17.4249,0.9016,7.3912,1,441.2,0.145208
84,5,7.3662,tsp,113.36,18.0971,0.9709,7.3997,5,443.2,0.150809
85,9,7.3772,control_signal,159.84,2.5936,0.1075,7.3908,3,401.1,0.021614
86,1,7.3824,sensor_data,439.57,14.2006,0.1147,7.3962,2,394.1,0.118339
87,7,7.5431,control_signal,126.79,6.2455,0.0908,7.5484,2,283.4,0.052046
88,8,7.5851,molecular_sim,370.9,24.6723,0.9799,7.6088,3,291.7,0.205602
89,5,7.6213,maxcut,459.75,49.7616,0.9148,7.653,5,212.6,0.41468
90,9,7.7089,image_processing,439.01,79.1977,0.0361,7.7259,1,414.0,0.659981
91,4,7.7264,molecular_sim,387.39,29.4995,0.9927,7.7519,2,330.1,0.245829
92,9,7.9061,control_signal,286.13,1.1712,0.07,7.9179,2,75.5,0.00976
93,8,8.0271,molecular_sim,473.12,26.6275,0.995,8.0559,1,396.4,0.221896
94,3,8.0579,control_signal,270.33,6.2225,0.1036,8.0643,4,163.5,0.051854
95,1,8.0767,maxcut,321.42,11.3591,0.9274,8.108,3,295.6,0.094659
96,7,8.1264,image_processing,407.76,58.4264,0.0705,8.1539,2,317.3,0.486886
97,1,8.155,knapsack,172.76,48.8385,0.9325,8.1926,1,147.8,0.406988
98,1,8.1621,knapsack,74.95,10.9948,0.9685,8.1743,4,318.1,0.091623
99,10,8.2092,sensor_data,265.84,10.2019,0.1482,8.227,3,256.7,0.085015
100,5,8.4201,image_processing,85.23,30.1828,0.0336,8.4339,1,439.0,0.251524
101,6,8.5146,molecular_sim,384.86,22.1512,0.9745,8.5323,2,150.1,0.184594
102,10,8.8033,aggregation,281.6,10.9004,0.3387,8.8177,3,332.0,0.090837
103,0,8.9949,video_processing,344.47,32.4294,0.0,9.0218,1,256.4,0.270245
104,6,9.0996,tsp,126.16,21.1184,0.9516,9.1319,4,302.2,0.175987
105,9,9.273,sensor_data,464.71,8.1432,0.1841,9.2904,2,294.2,0.06786
106,9,9.341,sensor_data,461.63,2.9341,0.1519,9.3557,2,266.4,0.02445
107,5,9.441,alert,56.64,3.2529,0.106,9.4468,1,249.6,0.027107
108,11,9.4767,sensor_data,471.13,2.4179,0.1435,9.4847,1,339.5,0.020149
109,2,9.4972,portfolio,123.03,31.7378,0.8918,9.53,5,281.1,0.264481
110,11,9.6981,control_signal,132.71,7.9918,0.0605,9.7052,1,319.1,0.066598
111,5,9.7112,alert,431.39,5.9514,0.1097,9.7203,5,144.2,0.049595
112,7,9.7288,control_signal,492.67,3.1224,0.1172,9.7436,5,418.9,0.02602
113,10,9.7578,portfolio,257.7,19.8715,0.9083,9.7847,3,238.6,0.165595
114,11,9.8485,molecular_sim,426.76,13.2669,0.9902,9.8701,2,155.3,0.110558
115,10,9.8872,sensor_data,96.73,9.2018,0.1423,9.8985,3,177.1,0.076681
116,0,9.9513,tsp,86.14,39.0864,0.9666,9.9868,3,255.4,0.32572
117,5,10.1536,image_processing,15.4,24.3078,0.0705,10.1812,1,467.6,0.202565
118,8,10.298,knapsack,303.72,16.5172,0.9188,10.3297,5,278.3,0.137643
119,5,10.4077,portfolio,32.52,25.6576,0.9285,10.4244,2,378.7,0.213813
120,0,10.4237,image_processing,407.15,58.6406,0.0287,10.4488,3,97.5,0.488671
121,1,10.5351,image_processing,119.56,56.2044,0.0069,10.544,2,241.2,0.46837
122,2,10.5777,control_signal,18.75,7.4798,0.1214,10.5919,5,489.8,0.062332
123,1,10.5892,tsp,485.65,48.151,0.9606,10.6264,3,86.1,0.401258
124,12,10.6267,cnn_inference,85.25,60.7368,0.0677,10.6472,3,84.7,0.50614
125,0,10.6333,sensor_data,162.98,13.0367,0.1726,10.6485,5,388.7,0.108639
126,5,10.719,knapsack,369.73,17.2223,0.9219,10.7572,1,447.1,0.14352
127,9,10.81,molecular_sim,464.07,26.2931,0.9765,10.8466,1,370.1,0.219109
128,14,10.8375,knapsack,44.91,11.7129,0.915,10.8577,2,398.2,0.097607
129,3,10.8418,portfolio,422.94,20.3967,0.8869,10.8674,2,490.3,0.169973
130,9,11.0974,knapsack,84.82,45.1739,0.9172,11.1117,3,71.9,0.376449
131,10,11.1731,portfolio,265.72,13.1721,0.8914,11.1955,1,64.8,0.109768
132,9,11.3125,molecular_sim,131.66,21.2834,0.9521,11.3279,2,232.1,0.177361
133,12,11.3455,control_signal,20.7,3.6449,0.095,11.356,2,209.3,0.030374
134,6,11.5025,knapsack,304.67,40.8785,0.9409,11.5132,4,181.6,0.340654
135,8,11.6562,sensor_data,30.75,10.2206,0.1394,11.6808,2,302.7,0.085172
136,2,11.6649,molecular_sim,422.9,29.6912,0.9881,11.6958,2,271.7,0.247427
137,8,12.1736,alert,140.25,3.3744,0.0998,12.1852,2,91.9,0.02812
138,6,12.2367,aggregation,257.23,15.0483,0.3342,12.2504,4,257.1,0.125402
139,2,12.3676,portfolio,488.5,39.6526,0.9041,12.3936,1,189.2,0.330438
140,0,12.3905,molecular_sim,340.66,10.0046,0.9807,12.4118,1,214.1,0.083372
141,0,12.4826,molecular_sim,427.79,22.9188,0.9747,12.5102,3,148.8,0.19099
142,13,12.5094,molecular_sim,126.85,5.9745,0.9655,12.5287,3,110.4,0.049787
143,7,12.6606,control_signal,359.66,7.5584,0.0638,12.6724,5,207.8,0.062986
144,2,12.7039,image_processing,16.92,51.995,0.0465,12.7254,5,172.2,0.433292
145,13,12.7769,tsp,26.08,15.4125,0.9304,12.7951,1,139.1,0.128437
146,5,12.8263,molecular_sim,22.35,13.4752,0.9717,12.8445,1,399.6,0.112293
147,11,12.8969,alert,164.14,5.6426,0.0981,12.9052,4,403.3,0.047022
148,12,12.9412,aggregation,161.15,13.687,0.3519,12.9669,5,93.6,0.114058
149,12,12.9986,alert,26.75,4.8505,0.0657,13.0078,4,419.2,0.04042
150,9,13.0013,control_signal,30.8,1.6852,0.1042,13.0098,2,172.5,0.014043
151,11,13.1499,molecular_sim,447.93,15.6276,0.9913,13.1744,2,201.4,0.13023
152,7,13.385,image_processing,182.45,35.4423,0.0494,13.3963,3,241.0,0.295353
153,13,13.4394,control_signal,484.12,2.7971,0.1468,13.452,4,115.7,0.023309
154,7,13.7582,knapsack,465.5,42.3655,0.9552,13.7761,1,310.5,0.353046
155,1,13.7739,sensor_data,43.09,2.765,0.1311,13.7953,2,169.5,0.023042
156,9,14.0347,knapsack,168.4,47.3562,0.9345,14.0503,3,381.7,0.394635
157,11,14.0689,image_processing,233.12,29.3775,0.0311,14.0989,4,272.9,0.244812
158,13,14.1315,tsp,164.21,15.701,0.9358,14.1699,2,259.0,0.130841
159,1,14.3597,image_processing,355.58,31.4027,0.0567,14.3733,1,67.9,0.261689
160,9,14.3716,molecular_sim,376.77,21.3865,0.9528,14.4198,4,113.0,0.178221
161,9,14.3895,portfolio,39.71,21.6287,0.911,14.4084,2,167.6,0.180239
162,5,14.5152,maxcut,179.24,23.0948,0.9503,14.5369,2,406.6,0.192457
163,10,14.6072,molecular_sim,455.8,19.688,1.0,14.6405,4,77.1,0.164067
164,6,14.6342,video_processing,285.38,79.2692,0.0458,14.6465,1,397.2,0.660576
165,7,14.6757,image_processing,310.1,63.4059,0.0203,14.6976,4,439.2,0.528382
166,13,14.746,tsp,327.71,37.8095,0.9816,14.7818,2,136.9,0.315079
167,4,14.9239,molecular_sim,445.13,22.5944,0.9715,14.9421,4,142.3,0.188287
168,4,14.9574,alert,156.57,4.5409,0.0721,14.9639,1,386.6,0.037841
169,13,15.0291,tsp,380.69,10.2429,0.9933,15.0675,2,274.6,0.085357
170,6,15.0623,portfolio,450.08,27.3034,0.9049,15.0902,5,86.4,0.227529
171,9,15.0908,molecular_sim,95.52,9.5177,0.9996,15.1158,4,279.3,0.079314
172,13,15.2906,tsp,138.74,13.3489,0.9826,15.303,5,146.5,0.111241
173,11,15.3427,maxcut,194.6,38.682,0.9103,15.3701,4,114.0,0.32235
174,6,15.4681,video_processing,43.88,72.753,0.0655,15.4923,1,81.9,0.606275
175,4,15.4965,sensor_data,432.65,5.7448,0.1733,15.5028,4,91.1,0.047873
176,0,15.5139,tsp,218.86,52.6815,0.9147,15.5404,4,275.9,0.439013
177,1,15.6209,image_processing,35.36,79.3455,0.0552,15.6472,2,459.5,0.661213
178,9,15.7537,video_processing,265.51,39.4825,0.0281,15.7728,2,201.0,0.32902
179,6,15.8427,portfolio,437.33,17.2816,0.8523,15.8572,3,111.8,0.144013
180,10,15.9539,control_signal,33.15,2.6627,0.1052,15.958,4,506.1,0.02219
181,4,16.0493,tsp,380.48,47.4035,0.9869,16.0771,2,55.1,0.39503
182,8,16.1516,alert,282.08,2.2881,0.0862,16.1566,3,416.0,0.019067
183,8,16.3628,sensor_data,282.38,13.603,0.1263,16.3727,1,202.4,0.113359
184,13,16.6272,video_processing,248.69,78.6025,0.013,16.6506,1,159.4,0.655021
185,2,16.6892,cnn_inference,107.01,33.3687,0.0958,16.7,4,94.8,0.278073
186,13,16.6977,sensor_data,381.1,2.8921,0.136,16.7154,4,381.9,0.024101
187,10,16.8292,cnn_inference,297.89,46.1232,0.0937,16.8583,3,252.0,0.38436
188,11,16.9085,alert,245.87,1.8019,0.0668,16.9168,3,72.7,0.015016
189,11,17.137,image_processing,362.91,54.9787,0.0618,17.1595,3,415.1,0.458156
190,9,17.2348,cnn_inference,268.43,60.3098,0.0471,17.2488,4,363.7,0.502582
191,4,17.248,tsp,415.45,39.6137,0.9359,17.28,3,323.2,0.330115
192,5,17.3462,image_processing,190.43,71.8465,0.0128,17.3657,1,116.1,0.598721
193,0,17.3998,maxcut,125.07,28.6692,0.9385,17.425,1,206.3,0.23891
194,12,17.4106,molecular_sim,308.24,24.3126,0.9708,17.4295,5,235.8,0.202605
195,10,17.4363,tsp,280.6,56.1651,0.9714,17.4619,1,428.6,0.468043
196,7,17.7618,tsp,145.83,44.1507,0.9854,17.7967,1,484.4,0.367923
197,10,17.7996,aggregation,215.69,15.6483,0.3518,17.8177,1,94.7,0.130403
198,3,17.8237,control_signal,115.41,2.0208,0.0762,17.8338,1,310.3,0.01684
199,3,17.8653,molecular_sim,457.58,20.654,0.9808,17.8856,5,433.0,0.172117
200,9,18.0589,video_processing,479.47,60.1567,0.0352,18.0694,3,411.0,0.501306
201,2,18.1609,molecular_sim,224.12,5.3099,0.9877,18.1937,2,165.4,0.044249
202,7,18.1794,molecular_sim,154.04,29.2483,0.976,18.2056,2,280.7,0.243736
203,13,18.1802,video_processing,22.27,77.2501,0.009,18.2075,1,264.2,0.643751
204,0,18.2212,cnn_inference,305.93,63.9155,0.1104,18.2406,2,69.1,0.532629
205,5,18.2353,tsp,283.22,42.7498,0.9861,18.2458,4,432.0,0.356248
206,8,18.429,cnn_inference,463.83,64.8362,0.1156,18.4397,1,436.3,0.540302
207,1,18.4389,tsp,173.84,19.7314,0.9686,18.4623,1,258.4,0.164428
208,6,18.503,sensor_data,154.74,13.6107,0.1465,18.5105,5,91.0,0.113422
209,7,18.5983,image_processing,337.02,76.5503,0.0596,18.6154,2,398.1,0.637919
210,0,18.8671,knapsack,182.1,33.7963,0.8953,18.8971,4,428.5,0.281636
211,13,18.8943,image_processing,106.77,66.3737,0.0424,18.9132,4,430.3,0.553114
212,13,19.0569,control_signal,289.89,7.7172,0.1336,19.0711,2,308.9,0.06431
213,10,19.1284,molecular_sim,253.32,12.2138,1.0,19.1463,4,341.1,0.101782
214,7,19.2904,image_processing,107.21,47.8641,0.0753,19.3165,3,401.1,0.398867
215,2,19.324,cnn_inference,367.41,73.1463,0.0999,19.3514,4,357.0,0.609553
216,12,19.3551,alert,231.91,3.1008,0.1143,19.3651,5,232.2,0.02584
217,2,19.3788,cnn_inference,204.31,35.2971,0.0691,19.4053,2,163.6,0.294143
218,7,19.4766,control_signal,238.96,7.2661,0.1165,19.4869,3,256.6,0.060551
219,0,19.5374,molecular_sim,241.35,16.797,0.9764,19.57,4,394.5,0.139975
220,5,19.6185,control_signal,149.8,6.9756,0.1042,19.6289,3,160.3,0.05813
221,7,19.7387,video_processing,196.84,39.0319,0.0218,19.7724,4,506.0,0.325265
222,13,19.8468,knapsack,436.66,42.4256,0.9234,19.8686,3,296.1,0.353547
223,8,19.9447,molecular_sim,447.32,25.3074,0.9709,19.9761,1,128.7,0.210895
224,9,20.0757,alert,120.93,2.2363,0.062,20.0865,2,507.8,0.018636
225,3,20.0789,tsp,184.09,37.8243,0.9664,20.1131,2,127.6,0.315203
226,11,20.2198,sensor_data,11.33,3.7766,0.142,20.2427,1,306.4,0.031472
227,14,20.3416,molecular_sim,269.52,11.8011,0.9997,20.363,3,315.8,0.098343
228,1,20.3827,control_signal,393.55,2.2248,0.0956,20.3907,1,136.2,0.01854
229,6,20.4052,image_processing,420.32,21.9762,0.0757,20.4291,1,457.5,0.183135
230,11,20.4717,control_signal,329.87,5.889,0.1099,20.4815,5,96.4,0.049075
231,4,20.6614,portfolio,340.92,10.6808,0.9237,20.6848,4,507.8,0.089007
232,2,20.6919,sensor_data,183.82,13.5365,0.1641,20.712,3,287.5,0.112804
233,11,20.8262,maxcut,322.52,16.7611,0.9708,20.8393,2,150.1,0.139676
234,10,21.1043,video_processing,419.57,54.6543,0.0019,21.1239,1,391.8,0.455452
235,5,21.1416,alert,183.11,5.233,0.0908,21.1506,3,405.9,0.043608
236,14,21.5446,image_processing,129.93,23.6782,0.063,21.5552,2,387.7,0.197319
237,7,21.5502,maxcut,349.82,18.2876,0.9467,21.5864,1,63.1,0.152397
238,8,21.5537,portfolio,151.03,30.0789,0.876,21.5914,3,75.0,0.250657
239,1,21.7277,alert,117.8,5.9038,0.0893,21.7354,4,390.2,0.049198
240,3,21.7881,image_processing,325.15,47.7679,0.0694,21.8112,3,175.0,0.398066
241,5,21.8449,molecular_sim,224.74,6.1416,0.9807,21.875,1,146.8,0.05118
242,8,22.0284,maxcut,196.32,13.2104,0.9519,22.0497,2,426.6,0.110087
243,14,22.2602,portfolio,221.52,36.0473,0.8843,22.29,3,261.5,0.300394
244,6,22.3374,cnn_inference,70.69,45.8861,0.0671,22.3545,2,307.3,0.382384
245,13,22.5346,aggregation,19.93,5.7244,0.3845,22.5527,1,104.7,0.047704
246,3,22.6293,portfolio,89.32,22.8483,0.8893,22.6393,1,303.9,0.190403
247,2,22.6762,portfolio,471.27,28.2907,0.8692,22.687,1,108.6,0.235756
248,2,22.699,alert,53.33,4.0883,0.0667,22.7109,5,144.3,0.034069
249,10,22.828,video_processing,83.12,48.1046,0.0178,22.8613,5,225.2,0.400872
250,9,23.0285,alert,355.15,1.288,0.1146,23.037,1,296.4,0.010733
251,11,23.2785,video_processing,428.65,50.0936,0.0169,23.2946,1,377.5,0.417447
252,14,23.3068,tsp,299.0,18.0523,0.9632,23.3186,3,321.7,0.150436
253,11,23.4029,molecular_sim,285.94,22.4321,0.9649,23.4251,4,358.1,0.186934
254,7,23.451,portfolio,493.45,11.1778,0.8621,23.4613,1,426.5,0.093148
255,13,23.6113,knapsack,401.19,19.9112,0.9361,23.631,5,454.4,0.165927
256,2,23.632,sensor_data,174.83,3.9233,0.1421,23.6473,1,55.5,0.032694
257,13,23.6375,maxcut,59.37,55.701,0.9367,23.6766,3,168.8,0.464175
258,8,23.6713,portfolio,239.88,18.4882,0.8719,23.6868,3,109.2,0.154069
259,2,23.6779,aggregation,357.9,15.1145,0.326,23.7003,3,454.3,0.125954
260,9,23.722,portfolio,128.23,11.6819,0.9315,23.734,1,303.6,0.097349
261,0,23.7677,knapsack,161.68,33.6371,0.9171,23.8024,2,310.1,0.280309
262,7,23.7783,video_processing,416.32,36.5548,0.0374,23.7908,3,163.1,0.304623
263,3,24.0675,sensor_data,64.27,3.0983,0.142,24.0843,1,396.9,0.025819
264,4,24.0958,aggregation,357.38,20.2415,0.382,24.1099,5,92.3,0.168679
265,6,24.2079,portfolio,242.38,16.6829,0.8934,24.2401,3,195.1,0.139024
266,2,24.2266,portfolio,397.05,39.8082,0.8746,24.248,1,167.3,0.331735
267,13,24.2743,maxcut,12.44,59.2682,0.9364,24.3028,1,343.6,0.493902
268,5,24.2827,aggregation,487.95,20.2945,0.3564,24.3072,2,346.8,0.169121
269,12,24.2938,aggregation,327.74,9.9735,0.3482,24.3039,4,333.9,0.083112
270,7,24.2948,cnn_inference,302.91,37.5832,0.1117,24.3088,2,162.9,0.313193
271,4,24.4461,aggregation,99.15,12.4784,0.3403,24.4631,3,257.2,0.103987
272,0,24.4794,alert,454.34,5.0788,0.1393,24.4903,2,332.3,0.042323
273,8,24.5443,cnn_inference,333.06,43.365,0.0948,24.5548,4,401.6,0.361375
274,4,24.6256,maxcut,438.66,32.6807,0.9711,24.6632,5,442.8,0.272339
275,14,24.6425,alert,201.24,3.3275,0.108,24.6471,1,128.5,0.027729
276,14,24.9172,maxcut,341.25,57.969,0.9555,24.9464,2,348.6,0.483075
277,7,24.9684,maxcut,358.47,56.8853,0.9528,24.986,3,258.5,0.474044
278,9,24.9754,knapsack,89.47,36.2798,0.934,24.9936,2,203.0,0.302332
279,1,24.9856,image_processing,73.15,31.4252,0.0313,25.0055,3,486.1,0.261876
280,6,25.032,aggregation,382.9,6.9663,0.3437,25.0559,4,76.2,0.058053
281,6,25.0439,sensor_data,498.05,6.895,0.1551,25.0524,1,432.1,0.057458
282,9,25.0745,sensor_data,10.4,11.2523,0.1754,25.0832,3,213.5,0.093769
283,11,25.1441,knapsack,37.89,15.8178,0.9078,25.1562,5,194.2,0.131815
284,14,25.148,alert,348.42,1.7129,0.1194,25.1568,1,137.1,0.014274
285,5,25.1816,tsp,358.27,40.2067,0.9966,25.2118,5,363.2,0.335056
286,0,25.3286,control_signal,469.14,3.5527,0.0986,25.3382,1,277.1,0.029606
287,4,25.3356,knapsack,433.4,10.4231,0.9543,25.3674,1,183.2,0.086859
288,2,25.4265,tsp,200.15,37.6716,0.945,25.4559,3,93.5,0.31393
289,12,25.4312,knapsack,459.17,47.1354,0.9291,25.4689,3,478.8,0.392795
290,6,25.682,tsp,182.33,13.1286,0.9595,25.6949,3,415.3,0.109405
291,8,25.7059,cnn_inference,147.49,37.3218,0.1406,25.7141,2,176.7,0.311015
292,12,25.7288,sensor_data,341.82,11.0422,0.1548,25.75,1,349.4,0.092018
293,6,25.8309,image_processing,58.97,46.361,0.1034,25.8503,1,111.2,0.386342
294,14,26.0425,portfolio,285.85,21.1426,0.8871,26.0795,5,188.6,0.176188
295,7,26.3411,knapsack,440.92,31.3612,0.9438,26.3751,2,498.8,0.261343
296,8,26.4705,portfolio,59.7,26.0921,0.9076,26.5046,2,311.2,0.217434
297,7,26.6323,tsp,243.77,13.9658,0.9504,26.6444,2,155.4,0.116382
298,2,26.735,sensor_data,301.43,14.37,0.1477,26.7592,3,378.0,0.11975
299,7,26.753,sensor_data,168.68,12.6575,0.1733,26.7687,1,357.1,0.10548
300,0,26.8622,portfolio,317.95,11.4865,0.889,26.8913,2,91.7,0.095721
301,5,26.8778,image_processing,250.87,41.1647,0.0237,26.8986,2,496.4,0.343039
302,11,26.9705,image_processing,166.4,48.7534,0.0551,26.9992,1,511.7,0.406278
303,12,27.0423,sensor_data,303.81,2.6157,0.1209,27.0478,1,481.2,0.021798
304,14,27.0758,cnn_inference,371.36,60.8319,0.0948,27.0852,1,89.5,0.506933
305,13,27.1423,portfolio,402.66,8.4612,0.9097,27.1735,3,441.3,0.07051
306,6,27.2268,control_signal,144.74,4.5453,0.0719,27.2412,1,162.1,0.037878
307,11,27.2485,molecular_sim,153.25,13.7837,0.9833,27.2944,2,207.1,0.114865
308,12,27.2877,knapsack,399.81,12.3474,0.9292,27.3178,3,407.5,0.102895
309,8,27.3273,molecular_sim,171.18,5.8217,0.9517,27.3436,2,214.6,0.048514
310,8,27.3378,image_processing,179.65,60.6766,0.0389,27.3528,3,325.6,0.505638
311,7,27.3649,portfolio,76.17,20.2218,0.8794,27.3943,2,462.4,0.168515
312,0,27.461,control_signal,14.96,2.1422,0.0988,27.4697,5,260.2,0.017852
313,14,27.5729,alert,282.85,2.4337,0.1618,27.5843,1,366.6,0.020281
314,8,27.6267,aggregation,352.33,13.7854,0.3465,27.6377,5,63.1,0.114879
315,7,27.6829,sensor_data,349.06,14.0501,0.1655,27.6901,3,81.8,0.117084
316,12,27.7201,cnn_inference,262.79,75.3599,0.0813,27.746,1,283.8,0.627999
